localpath,catalog,roughness
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2006_kc_0.tif,2006,0.0314752757040322
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2007_kv_2.tif,2007,0.0519934548620972
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2008_kv_1.tif,2008,0.0562310221295162
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2009_kv_1.tif,2009,0.0559320366604972
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2010_kv_2.tif,2010,0.0535422443417927
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2012_kv_2.tif,2012,0.0304182919745532
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2102_ll_2.tif,2102,0.0181881449905966
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2111_hc_2.tif,2111,0.1250107663111663
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2113_kn_0.tif,2113,0.0436832959280136
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2114_kv_2.tif,2114,0.0386392606708544
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2115_kv_1.tif,2115,0.0598529978341369
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2116_ks_2.tif,2116,0.0534729241799751
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2117_ks_2.tif,2117,0.0351972817090857
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2118_kn_1.tif,2118,0.0278496741252129
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2119_kn_0.tif,2119,0.031655330531277
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2121_ka_2.tif,2121,0.0724889848814106
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2122_ka_2.tif,2122,0.0375512023434147
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2123_kn_2.tif,2123,0.028816115501592
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2124_ka_0.tif,2124,0.0234930075590885
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2125_ka_2.tif,2125,0.0266271688096795
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2129_gc_2.tif,2129,0.1005284341392348
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2167_kv_0.tif,2167,0.0567071282159804
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2173_dn_1.tif,2173,0.0262994758335968
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/219_al_0.tif,219,0.0172619732928371
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/220_al_0.tif,220,0.0171916866052079
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/235_ka_0.tif,235,0.0331005101054138
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2370_ka_0.tif,2370,0.0223343848455477
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2373_kb_1.tif,2373,0.0201993976137758
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2374_kb_2.tif,2374,0.0661600339300495
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2443_hr_0.tif,2443,0.0398733134364958
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2444_kv_2.tif,2444,0.1336176745832945
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2445_kv_0.tif,2445,0.0302288604534855
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2446_kv_2.tif,2446,0.0658995200483029
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2447_kv_0.tif,2447,0.0595900587778615
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2448_da_1.tif,2448,0.04561525605955
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2449_da_2.tif,2449,0.0582008910576691
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2450_ac_1.tif,2450,0.1232840092387443
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2461_ws_2.tif,2461,0.0292789142177684
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2464_ws_2.tif,2464,0.0157609737095399
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2480_ks_0.tif,2480,0.049637804170952
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2482_ka_0.tif,2482,0.0384898210170873
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2484_kb_0.tif,2484,0.0240003954775565
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2485_kb_1.tif,2485,0.0232009416511811
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/24_kc_2.tif,24,0.0365238756743652
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2522_kn_0.tif,2522,0.0224876342055842
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2523_ie_1.tif,2523,0.2130369857292063
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2571_aa_2.tif,2571,0.145270552667997
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2572_aa_2.tif,2572,0.1664172018790127
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2573_aa_1.tif,2573,0.1251657233987861
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2574_aa_0.tif,2574,0.0576662063723898
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2575_aa_1.tif,2575,0.0489518535567446
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2576_aa_1.tif,2576,0.1107564682794538
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2577_aa_1.tif,2577,0.1383257570542
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2578_aa_1.tif,2578,0.0936373196967983
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2579_aa_0.tif,2579,0.0365123494090256
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2580_aa_2.tif,2580,0.045539932180784
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2581_aa_2.tif,2581,0.1495374993071354
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2582_aa_2.tif,2582,0.1568548430207874
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2583_dd_1.tif,2583,0.0255658905870806
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2584_dd_1.tif,2584,0.0376355538707063
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2586_dd_0.tif,2586,0.023898747771355
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2587_dd_0.tif,2587,0.0252022648508512
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2588_dd_1.tif,2588,0.0187095448893826
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2589_dd_1.tif,2589,0.0478893318408134
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2592_da_0.tif,2592,0.0855023170844097
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2595_kp_1.tif,2595,0.0641906903148238
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2596_kp_0.tif,2596,0.0287359273728447
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2597_kv_2.tif,2597,0.0440799885502723
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2598_kv_2.tif,2598,0.0490763915209368
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2599_gr_1.tif,2599,0.0205183304027585
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/25_kv_2.tif,25,0.0441642663932912
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2602_gs_2.tif,2602,0.0316326330901812
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2644_ac_1.tif,2644,0.0228675132732921
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2645_kv_1.tif,2645,0.0291443719300672
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2646_ka_1.tif,2646,0.0427009860312
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/26_ac_1.tif,26,0.0365318862023373
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/274_ac_1.tif,274,0.0347416767753103
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2763_kv_1.tif,2763,0.0217359740275506
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2767_dd_2.tif,2767,0.0205497092952184
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2772_kv_2.tif,2772,0.0293777599476554
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2773_ks_0.tif,2773,0.1015073892963972
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2774_da_2.tif,2774,0.0841983729407521
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2775_da_2.tif,2775,0.0850442209117526
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/27_kv_1.tif,27,0.0477392114452669
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/28_ka_1.tif,28,0.0307329865319508
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2918_gb_2.tif,2918,0.0267969445063506
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2920_ka_1.tif,2920,0.0368778475614685
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2924_kn_1.tif,2924,0.0329698368771244
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2927_gn_1.tif,2927,0.018104093745212
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2935_kc_0.tif,2935,0.0544635992074537
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2936_ka_1.tif,2936,0.0421391107468568
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2947_gs_0.tif,2947,0.0356810603588992
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/2965_kd_1.tif,2965,0.028998941536363
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3015_dd_2.tif,3015,0.0239859739540453
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3168_an_0.tif,3168,0.0414178784064859
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3169_ac_0.tif,3169,0.0370722591119492
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3171_kv_2.tif,3171,0.0369349841518147
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3172_kv_1.tif,3172,0.0443582848588736
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3188_da_2.tif,3188,0.0256693178952315
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/31_dd_1.tif,31,0.0206114134649758
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3203_dn_2.tif,3203,0.035112868459369
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3204_dn_0.tif,3204,0.0371958880581758
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3205_dd_2.tif,3205,0.0292065138236012
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3206_dn_1.tif,3206,0.0391447474444435
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3207_dn_1.tif,3207,0.0318873740333618
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3208_dn_1.tif,3208,0.0320303165460631
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/3209_dn_0.tif,3209,0.0394008171704344
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/321_ac_0.tif,321,0.1488531835245188
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/322_kk_0.tif,322,0.029361388262867
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/32_dc_2.tif,32,0.0165612086856882
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/33_dc_1.tif,33,0.01676860922256
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/34_dv_0.tif,34,0.0209888750327165
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/357_dd_1.tif,357,0.0225343743980389
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/358_dd_0.tif,358,0.0249447293691694
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/359_dd_1.tif,359,0.0223976360230406
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/366_aa_2.tif,366,0.0331302924956288
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/36_dc_1.tif,36,0.0199078082303477
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/37_dv_2.tif,37,0.0474030997323863
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/38_dv_1.tif,38,0.0578108852584562
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/391_kv_2.tif,391,0.0434572960692338
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/39_dc_2.tif,39,0.0232347185869567
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/40_dv_0.tif,40,0.0550814299735092
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4113_dd_0.tif,4113,0.0213039440192163
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4238_kk_2.tif,4238,0.0203382708655601
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4239_kk_2.tif,4239,0.0164491888676467
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4280_da_0.tif,4280,0.0303015906820305
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4282_da_1.tif,4282,0.031417405154457
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4794_kv_1.tif,4794,0.0485324764895702
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4795_db_2.tif,4795,0.0365896866424134
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4796_do_2.tif,4796,0.0280689452425851
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4797_dc_1.tif,4797,0.0218932356510701
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4798_dc_1.tif,4798,0.0300303934168785
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4799_dd_0.tif,4799,0.0334402328530706
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4804_ka_0.tif,4804,0.0412668217596258
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4837_ac_0.tif,4837,0.0508002625949077
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4838_dp_1.tif,4838,0.0363018500305009
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4869_lr_0.tif,4869,0.0708003672627352
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4877_dp_1.tif,4877,0.0236679215132533
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4907_ml_1.tif,4907,0.0445625320524968
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4936_dn_2.tif,4936,0.023585798496942
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4937_dp_2.tif,4937,0.0294470768388971
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4939_ka_0.tif,4939,0.0410992846498741
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4959_cb_1.tif,4959,0.01470110019485
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4960_fb_2.tif,4960,0.0259682467731455
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/4990_kb_1.tif,4990,0.0202187566296023
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5031_kc_0.tif,5031,0.0341965768596076
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5032_kv_1.tif,5032,0.0392413274414393
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5033_dn_1.tif,5033,0.0295117116422695
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5111_dd_1.tif,5111,0.0230688552147712
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5120_kc_2.tif,5120,0.044514497329066
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5121_kv_0.tif,5121,0.0347879730723842
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5122_fb_1.tif,5122,0.02370580420599
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5131_kc_1.tif,5131,0.0513644726184347
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5137_cb_1.tif,5137,0.0528493648464165
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5139_kv_0.tif,5139,0.0198665177080733
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5140_is_0.tif,5140,0.0216641890305467
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5141_fb_1.tif,5141,0.0155726948442049
/Volumes/G-DRIVE Thunderbolt 3/genome_texture/LML Collection/texture_binder1_jd/5148_ma_2.tif,5148,0.0762897303360164
